Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #5 MOOKIE BETTS,121297942,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,5,MOOKIE BETTS,-,-,BASEBALL CARDS,-,91,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON MEW EN-151 #167 IVYSAUR ILLUSTRATION RARE,121297945,PSA,8,-,2023,POKEMON MEW EN-151,167,IVYSAUR,ILLUSTRATION RARE,-,TCG Cards,-,44,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON KOREAN SV2a-POKEMON CARD 151 #173 PIKACHU ART RARE,121297947,PSA,6,-,2023,POKEMON KOREAN SV2a-POKEMON CARD 151,173,PIKACHU,ART RARE,-,TCG Cards,-,-,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES #9 FREDDIE FREEMAN,121297943,PSA,10,-,2025,TOPPS TAKASHI MURAKAMI + MLB WORLD TOUR TOKYO SERIES,9,FREDDIE FREEMAN,-,-,BASEBALL CARDS,-,86,-,-,-,-,-,Vaulted,09/17/2025,347,-,-,-,-,-,-,-,-,-,-
Active,2021 POKEMON CELEBRATIONS #011 MEW,126727710,PSA,8,-,2021,POKEMON CELEBRATIONS,011,MEW,-,-,TCG Cards,25,16,-9,-,11/20/2025,Power Packs,-,Vaulted,11/03/2025,283,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON SVP EN-SV BLACK STAR PROMO #053 MEW EX 151 ULTRA-PREMIUM COLLECTION,127889620,PSA,8,-,2023,POKEMON SVP EN-SV BLACK STAR PROMO,053,MEW EX,151 ULTRA-PREMIUM COLLECTION,-,TCG Cards,50,70,20,-,11/20/2025,Power Packs,-,Vaulted,11/11/2025,283,-,-,-,-,-,-,-,-,-,-
Active,2021 TOPPS HERITAGE #169 MIKE TROUT CHROME 570/999,71518277,PSA,10,-,2021,TOPPS HERITAGE,169,MIKE TROUT,CHROME,570/999,BASEBALL CARDS,50,49,-1,-,11/21/2025,Power Packs,-,Vaulted,06/21/2025,282,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON JAPANESE SV2D-CLAY BURST #073 FLETCHINDER ART RARE,115507449,PSA,9,-,2023,POKEMON JAPANESE SV2D-CLAY BURST,073,FLETCHINDER,ART RARE,-,TCG Cards,50,20,-30,-,11/28/2025,Power Packs,-,Vaulted,10/19/2025,275,-,-,-,-,-,-,-,-,-,-
Active,1991 FLEER #211 MICHAEL JORDAN,125731386,PSA,9,-,1991,FLEER,211,MICHAEL JORDAN,-,-,BASKETBALL CARDS,25,43,18,-,11/28/2025,Power Packs,-,Vaulted,10/27/2025,275,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS UPDATE 1989 TOPPS BASEBALL RELICS #PS PAUL SKENES,123299104,PSA,8,-,2024,TOPPS UPDATE 1989 TOPPS BASEBALL RELICS,PS,PAUL SKENES,-,-,BASEBALL CARDS,25,34,9,-,12/04/2025,Power Packs,-,Vaulted,10/13/2025,269,-,-,-,-,-,-,-,-,-,-
Active,2000 POKEMON GAME BASE II #3 CHANSEY-HOLO,127912180,PSA,7,-,2000,POKEMON GAME BASE II,3,CHANSEY-HOLO,-,-,TCG Cards,25,30,5,-,12/05/2025,Power Packs,-,Vaulted,12/01/2025,268,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON MEW EN-151 #175 PSYDUCK ILLUSTRATION RARE,128541198,PSA,9,-,2023,POKEMON MEW EN-151,175,PSYDUCK,ILLUSTRATION RARE,-,TCG Cards,50,73,23,-,12/17/2025,Power Packs,-,Vaulted,11/28/2025,255,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI DONRUSS OPTIC #238 PUKA NACUA PURPLE SHOCK,95570278,PSA,9,-,2023,PANINI DONRUSS OPTIC,238,PUKA NACUA,PURPLE SHOCK,-,FOOTBALL CARDS,25,30,5,-,12/23/2025,Power Packs,-,Vaulted,09/21/2024,250,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI MOSAIC #303 DRAKE MAYE GREEN,116838544,PSA,10,-,2024,PANINI MOSAIC,303,DRAKE MAYE,GREEN,-,FOOTBALL CARDS,-,127,-,-,-,-,-,Vaulted,01/07/2026,235,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS CHROME 1974 TOPPS FOOTBALL #74TF3 DRAKE MAYE X-FRACTOR,128337725,PSA,9,-,2024,TOPPS CHROME 1974 TOPPS FOOTBALL,74TF3,DRAKE MAYE,X-FRACTOR,-,FOOTBALL CARDS,-,45,-,-,-,-,-,Vaulted,01/07/2026,235,-,-,-,-,-,-,-,-,-,-
Active,2024 ONE PIECE OP07-500 YEARS IN THE FUTURE #109 MONKEY D. LUFFY ALTERNATE ART,97752167,PSA,10,-,2024,ONE PIECE OP07-500 YEARS IN THE FUTURE,109,MONKEY D. LUFFY,ALTERNATE ART,-,TCG Cards,-,97,-,-,-,-,-,Vaulted,02/04/2026,207,-,-,-,-,-,-,-,-,-,-
Active,2022 POKEMON SWORD & SHIELD SILVER TEMPEST #213 FULL ART/GAPEJAW BOG SECRET,70848071,PSA,10,-,2022,POKEMON SWORD & SHIELD SILVER TEMPEST,213,FULL ART/GAPEJAW BOG,SECRET,-,TCG Cards,-,34,-,-,-,-,-,Vaulted,02/06/2026,204,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI DONRUSS OPTIC #177 LUKA DONCIC HOLO,114949362,PSA,8,-,2018,PANINI DONRUSS OPTIC,177,LUKA DONCIC,HOLO,-,BASKETBALL CARDS,-,215,-,-,-,-,-,Vaulted,02/04/2026,207,-,-,-,-,-,-,-,-,-,-
Active,2019 POKEMON SM BLACK STAR PROMO #SM210 FULL ART/MOLTRES & ZAPDOS & ARTICUNO GX HIDDEN FATES ELITE TRAINER BOX,62837377,PSA,9,-,2019,POKEMON SM BLACK STAR PROMO,SM210,FULL ART/MOLTRES & ZAPDOS & ARTICUNO GX,HIDDEN FATES ELITE TRAINER BOX,-,TCG Cards,-,162,-,-,-,-,-,Vaulted,02/06/2026,204,-,-,-,-,-,-,-,-,-,-
Active,2025 POKEMON BLK EN-BLACK BOLT #166 ZEKROM EX SPECIAL ILLUSTRATION RARE,160521641,PSA,9,-,2025,POKEMON BLK EN-BLACK BOLT,166,ZEKROM EX,SPECIAL ILLUSTRATION RARE,-,TCG Cards,-,230,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS X BOB ROSS THE JOY OF BASEBALL #71 SANDY KOUFAX SAP GREEN 14/75,160521636,PSA,9,-,2025,TOPPS X BOB ROSS THE JOY OF BASEBALL,71,SANDY KOUFAX,SAP GREEN,14/75,BASEBALL CARDS,-,-,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 PANINI PHOENIX COLOR BLAST #20 AMON-RA ST. BROWN,160521631,PSA,9,-,2025,PANINI PHOENIX COLOR BLAST,20,AMON-RA ST. BROWN,-,-,FOOTBALL CARDS,-,218,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS X BOB ROSS THE JOY OF BASEBALL #HM-100 ROKI SASAKI HAPPY MISTAKES,160521632,PSA,10,-,2025,TOPPS X BOB ROSS THE JOY OF BASEBALL,HM-100,ROKI SASAKI,HAPPY MISTAKES,-,BASEBALL CARDS,-,401,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS X BOB ROSS THE JOY OF BASEBALL #91G COBY MAYO AUTOGRAPH-SAP GREEN 33/75,160521637,PSA,10,-,2025,TOPPS X BOB ROSS THE JOY OF BASEBALL,91G,COBY MAYO,AUTOGRAPH-SAP GREEN,33/75,BASEBALL CARDS,-,-,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON PAL EN-PALDEA EVOLVED #259 CHI-YU EX SPECIAL ILLUSTRATION RARE,160521634,PSA,9,-,2023,POKEMON PAL EN-PALDEA EVOLVED,259,CHI-YU EX,SPECIAL ILLUSTRATION RARE,-,TCG Cards,-,56,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 POKEMON SVP EN-SV BLACK STAR PROMO #203 TEAM ROCKET'S WOBBUFFET DESTINED RIVALS ELITE TRAINER BOX,160521639,PSA,9,-,2025,POKEMON SVP EN-SV BLACK STAR PROMO,203,TEAM ROCKET'S WOBBUFFET,DESTINED RIVALS ELITE TRAINER BOX,-,TCG Cards,-,28,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2023 POKEMON PAR EN-PARADOX RIFT #199 GROUDON ILLUSTRATION RARE,160521638,PSA,9,-,2023,POKEMON PAR EN-PARADOX RIFT,199,GROUDON,ILLUSTRATION RARE,-,TCG Cards,-,116,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 MAGIC THE GATHERING MARVEL'S SPIDER-MAN #0232 AMAZING SPIDER-MAN/PETER PARKER CLASSIC COMIC BORDERLESS-FOIL,160521640,PSA,8,-,2025,MAGIC THE GATHERING MARVEL'S SPIDER-MAN,0232,AMAZING SPIDER-MAN/PETER PARKER,CLASSIC COMIC BORDERLESS-FOIL,-,TCG Cards,-,87,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS X BOB ROSS THE JOY OF BASEBALL #41-SP SHOHEI OHTANI BEAUTY IS EVERYWHERE,160521635,PSA,10,-,2025,TOPPS X BOB ROSS THE JOY OF BASEBALL,41-SP,SHOHEI OHTANI,BEAUTY IS EVERYWHERE,-,BASEBALL CARDS,-,793,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS COSMIC CHROME PLANETARY PURSUIT #2 SHOHEI OHTANI SUN,160521630,PSA,8,-,2025,TOPPS COSMIC CHROME PLANETARY PURSUIT,2,SHOHEI OHTANI,SUN,-,BASEBALL CARDS,-,372,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2025 TOPPS X BOB ROSS THE JOY OF BASEBALL #HM-39 JACKSON MERRILL HAPPY MISTAKES,160521633,PSA,10,-,2025,TOPPS X BOB ROSS THE JOY OF BASEBALL,HM-39,JACKSON MERRILL,HAPPY MISTAKES,-,BASEBALL CARDS,-,274,-,-,-,-,-,Vaulted,06/28/2026,63,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #037 BULBASAUR FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,163003613,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,037,BULBASAUR,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,119,-,-,-,-,-,Vaulted,07/13/2026,48,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #039 SQUIRTLE FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,163003614,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,039,SQUIRTLE,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,124,-,-,-,-,-,Vaulted,07/13/2026,48,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #038 CHARMANDER FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,163003612,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,038,CHARMANDER,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,128,-,-,-,-,-,Vaulted,07/13/2026,48,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #044 LITTEN FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,170059297,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,044,LITTEN,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,47,-,-,-,-,-,Vaulted,08/14/2026,16,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #045 POPPLIO FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,170059295,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,045,POPPLIO,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,49,-,-,-,-,-,Vaulted,08/14/2026,16,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #043 ROWLET FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,170059296,PSA,9,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,043,ROWLET,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,18,-,-,-,-,-,Vaulted,08/14/2026,16,-,-,-,-,-,-,-,-,-,-
Active,2026 POKEMON MEP EN-ME BLACK STAR PROMO #039 SQUIRTLE FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,170059294,PSA,10,-,2026,POKEMON MEP EN-ME BLACK STAR PROMO,039,SQUIRTLE,FIRST PARTNER ILLUSTRATION COLLECTION SERIES 1,-,TCG Cards,-,124,-,-,-,-,-,Vaulted,08/14/2026,16,-,-,-,-,-,-,-,-,-,-
Active,2024 POKEMON SSP EN-SURGING SPARKS #203 LATIOS ILLUSTRATION RARE,170118836,PSA,9,-,2024,POKEMON SSP EN-SURGING SPARKS,203,LATIOS,ILLUSTRATION RARE,-,TCG Cards,-,44,-,-,-,-,-,Vaulted,08/14/2026,16,-,-,-,-,-,-,-,-,-,-
